date;mkt;SMB;HML;RMW;CMA;RF
13/12/1990;-0,0005;0,0049;-0,0043;0,0035;-0,0006;0,0003
14/12/1990;-0,007;0,0028;0,0002;-0,0001;0,0003;0,0003
17/12/1990;-0,0033;-0,0031;-0,0006;0,0033;0,0036;0,0003
18/12/1990;0,0113;-0,007;0,0026;0,0002;-0,0062;0,0003
19/12/1990;0,0009;0,0033;-0,0006;-0,0009;-0,0035;0,0003
20/12/1990;0,0009;0,0011;-0,0013;-0,0021;-0,0003;0,0003
21/12/1990;0,0031;-0,0022;-0,001;0,0002;-0,002;0,0003
24/12/1990;-0,0036;0,0018;0,0002;0,0015;0,0009;0,0003
25/12/1990;0;0;0;0;0;0,0003
26/12/1990;0,0026;-0,0001;-0,0022;-0,0002;0,003;0,0003
27/12/1990;-0,0058;0,006;-0,0009;0,0022;-0,0007;0,0003
28/12/1990;0,0002;-0,0009;-0,0007;0,0004;-0,0002;0,0003
31/12/1990;0,0049;0,0067;-0,0044;-0,0002;-0,0015;0,0003
1/1/1991;0;0;0;0;0;0,0002
2/1/1991;-0,0086;0,0051;0,0096;-0,0052;0,0019;0,0002
3/1/1991;-0,0116;0,0039;0,0118;-0,0045;0,0025;0,0002
4/1/1991;-0,0023;0,0015;0,0036;-0,0038;0,0003;0,0002
7/1/1991;-0,016;0,0029;0,0021;-0,002;0,0045;0,0002
8/1/1991;-0,0027;-0,0019;-0,0014;0,0015;0,0025;0,0002
9/1/1991;-0,0091;0,004;-0,0001;-0,0015;-0,0026;0,0002
10/1/1991;0,0094;-0,0046;-0,0032;0,0052;-0,0034;0,0002
11/1/1991;0,0009;-0,0013;-0,0027;0,0033;-0,0018;0,0002
14/1/1991;-0,009;-0,0076;0,0029;-0,0021;0,0022;0,0002
15/1/1991;0,0031;-0,0031;-0,0026;0,0013;-0,003;0,0002
16/1/1991;0,0094;-0,0003;-0,0086;0,0043;-0,0102;0,0002
17/1/1991;0,0317;-0,0103;-0,0064;0,0153;-0,0119;0,0002
18/1/1991;0,009;-0,0112;0,0013;0,0026;-0,0016;0,0002
21/1/1991;-0,0005;0,0043;0,0035;0;-0,002;0,0002
22/1/1991;-0,0059;0,0103;-0,0006;-0,0042;0,0018;0,0002
23/1/1991;0,0059;0,004;0,0001;-0,0041;-0,0003;0,0002
24/1/1991;0,0139;0,0026;-0,0046;-0,0001;-0,0072;0,0002
25/1/1991;0,0039;0,006;-0,0018;0,001;-0,0018;0,0002
28/1/1991;0,0016;0,0063;0,0005;0,0015;-0,0009;0,0002
29/1/1991;0,0011;0,0077;0,0025;-0,0008;-0,0047;0,0002
30/1/1991;0,0147;0,0021;-0,0036;0,0052;-0,009;0,0002
31/1/1991;0,0092;0,005;-0,002;-0,0002;-0,0007;0,0002
1/2/1991;0,0004;0,0105;0,0054;-0,0061;-0,0009;0,0002
4/2/1991;0,0157;0,0032;0,0039;-0,005;-0,0012;0,0002
5/2/1991;0,0102;0,0037;-0,0031;0,0034;-0,0026;0,0002
6/2/1991;0,0179;-0,0044;-0,007;-0,0005;-0,0009;0,0002
7/2/1991;-0,0034;-0,0008;0,0047;-0,0006;0,0046;0,0002
8/2/1991;0,0066;-0,0044;-0,0007;-0,0008;0,0022;0,0002
11/2/1991;0,0234;-0,0074;-0,0015;0,0035;-0,0024;0,0002
12/2/1991;-0,0052;0,008;0,0028;-0,0009;-0,0003;0,0002
13/2/1991;0,0088;0,002;-0,0032;0,0033;0,0008;0,0002
14/2/1991;-0,0113;0,0101;0,0017;-0,0011;-0,0012;0,0002
15/2/1991;0,0115;-0,0028;-0,0008;0,0032;-0,0036;0,0002
18/2/1991;0,0004;-0,0002;0,0006;-0,0006;-0,0002;0,0002
19/2/1991;0,0015;-0,0003;-0,0025;0,0021;-0,004;0,0002
20/2/1991;-0,01;0,0045;0,0014;-0,001;0,0048;0,0002
21/2/1991;-0,0003;0,0055;-0,0042;0,0015;0,0002;0,0002
22/2/1991;0,0022;0,003;-0,0069;-0,0021;-0,0028;0,0002
25/2/1991;0,0041;0,0008;-0,0057;0,0007;-0,0012;0,0002
26/2/1991;-0,0104;0,0034;0,0027;-0,0027;0,0026;0,0002
27/2/1991;0,0115;-0,006;-0,0026;-0,0046;0,0019;0,0002
28/2/1991;0,0006;0,0093;0,007;-0,0069;0,0017;0,0002
1/3/1991;0,0082;-0,0031;0,0008;-0,0028;-0,0016;0,0002
4/3/1991;0,001;0,0125;0,0011;-0,005;-0,0031;0,0002
5/3/1991;0,0186;-0,0007;-0,0067;0,0039;-0,0082;0,0002
6/3/1991;-0,0009;0,0037;0,0022;0,0001;0,0009;0,0002
7/3/1991;0,0004;0,0026;-0,0032;-0,0009;-0,0012;0,0002
8/3/1991;-0,0018;0,0053;-0,0029;0,0003;0,0035;0,0002
11/3/1991;-0,0052;-0,0015;0,0038;0,0008;0,0027;0,0002
12/3/1991;-0,0081;-0,0013;0,0075;-0,0004;0,0045;0,0002
13/3/1991;0,0106;-0,006;-0,0052;0,0024;-0,0042;0,0002
14/3/1991;-0,0013;0,0039;-0,003;0,0019;0,0012;0,0002
15/3/1991;-0,0019;-0,0032;-0,0029;0,0014;0,0001;0,0002
18/3/1991;-0,0023;0,0034;-0,0015;0,0026;-0,0004;0,0002
19/3/1991;-0,0121;0,0047;-0,0049;-0,0047;0,0023;0,0002
20/3/1991;0,0033;0,004;-0,0061;0,0003;0,0008;0,0002
21/3/1991;-0,0025;0,0048;-0,0009;-0,0018;0,0019;0,0002
22/3/1991;0,0013;-0,0001;-0,0012;-0,0007;0,0038;0,0002
25/3/1991;0,0063;-0,0009;0,0005;-0,0017;-0,0001;0,0002
26/3/1991;0,0158;-0,0064;-0,0055;0,0051;-0,0108;0,0002
27/3/1991;0;0,0075;-0,0006;0,0002;-0,0072;0,0002
28/3/1991;-0,0004;0,0071;0,002;-0,0015;-0,0006;0,0002
29/3/1991;0;0;-0,0001;0;0;0,0002
1/4/1991;-0,0077;0,0055;-0,0001;0,0001;0,0005;0,0002
2/4/1991;0,0192;-0,0077;-0,0084;0,0049;-0,0056;0,0002
3/4/1991;0,001;0,0071;-0,0008;-0,0038;-0,006;0,0002
4/4/1991;0,0032;0,0005;-0,0011;-0,0038;-0,0024;0,0002
5/4/1991;-0,0088;0,0066;0,0034;-0,003;0,0021;0,0002
8/4/1991;0,0058;-0,0071;0,0003;0,0025;0,0018;0,0002
9/4/1991;-0,0101;0,0073;0,0016;-0,0008;-0,0004;0,0002
10/4/1991;-0,0018;0,0009;0,0028;0,0016;0,002;0,0002
11/4/1991;0,0113;-0,0028;-0,0012;-0,0011;-0,0022;0,0002
12/4/1991;0,0059;-0,001;-0,0036;0;0,0008;0,0002
15/4/1991;0,0018;-0,0015;-0,0016;0,0014;-0,0009;0,0002
16/4/1991;0,0142;-0,0074;-0,0019;-0,0007;-0,0015;0,0002
17/4/1991;0,0074;0,0006;0;-0,0009;-0,001;0,0002
18/4/1991;-0,0046;-0,0008;0,0074;-0,0017;0,0011;0,0002
19/4/1991;-0,0099;0,0043;0,0072;-0,002;0,0057;0,0002
22/4/1991;-0,0093;-0,0041;-0,0006;0,0019;0,0008;0,0002
23/4/1991;0,0017;0,0012;0,0005;-0,0015;0;0,0002
24/4/1991;0,0029;0,0005;0,0013;-0,0007;-0,0031;0,0002
25/4/1991;-0,0071;0,0062;-0,0006;0,001;0,0013;0,0002
26/4/1991;-0,0011;-0,0027;0,0013;0,001;0,0013;0,0002
29/4/1991;-0,0125;0,0038;0,004;0,0006;0,0033;0,0002
30/4/1991;0,002;-0,0093;0,0017;0,0033;0,0027;0,0002
1/5/1991;0,0118;-0,006;-0,0053;0,0019;-0,0017;0,0002
2/5/1991;0,002;0,0054;-0,0005;-0,0034;-0,0024;0,0002
3/5/1991;0,0007;0,0023;-0,0029;0,0009;0,0023;0,0002
6/5/1991;-0,0014;0,0006;0,001;-0,0026;-0,0003;0,0002
7/5/1991;-0,005;0,0062;0,0003;-0,0035;-0,0006;0,0002
8/5/1991;0,0021;0,0006;0,0007;0,002;-0,0005;0,0002
9/5/1991;0,0113;-0,0055;-0,004;0,0018;-0,0024;0,0002
10/5/1991;-0,0153;0,0099;0,0042;-0,0019;0,0021;0,0002
13/5/1991;0,0019;-0,0022;-0,002;0,0037;-0,0028;0,0002
14/5/1991;-0,0119;0,0039;0,002;0,0014;0,0007;0,0002
15/5/1991;-0,0096;-0,0053;0,0068;-0,0035;0,0068;0,0002
16/5/1991;0,0091;-0,0032;-0,0025;0,0019;-0,0022;0,0002
17/5/1991;-0,0002;-0,0021;-0,0009;0,0011;-0,0002;0,0002
20/5/1991;0;-0,0011;-0,0009;0,0028;-0,001;0,0002
21/5/1991;0,0072;-0,0019;-0,005;0,0025;-0,0024;0,0002
22/5/1991;0,0025;-0,0006;0,0016;-0,0002;-0,0021;0,0002
23/5/1991;-0,0015;0,0038;-0,0008;-0,0017;-0,0036;0,0002
24/5/1991;0,0063;-0,0026;0,0018;-0,0015;0;0,0002
27/5/1991;0,0001;-0,0001;-0,0001;-0,0002;0,0001;0,0002
28/5/1991;0,0107;-0,0046;-0,0008;0;-0,002;0,0002
29/5/1991;0,0027;0,0029;0,0034;0,0019;-0,0013;0,0002
30/5/1991;0,0099;-0,0007;-0,0016;-0,0001;-0,0033;0,0002
31/5/1991;0,0071;0,0007;0,0059;-0,0038;-0,002;0,0002
3/6/1991;-0,0024;0,0051;0,0056;-0,0024;0,0001;0,0002
4/6/1991;-0,0002;0,0021;-0,0015;-0,0002;-0,0022;0,0002
5/6/1991;-0,0051;0,0064;0,0021;-0,0016;0,0006;0,0002
6/6/1991;-0,003;0,0018;0,0041;-0,0041;0,0044;0,0002
7/6/1991;-0,0088;0,0045;0,0022;-0,0015;0,0011;0,0002
10/6/1991;-0,0023;-0,0001;0,0006;0,0008;-0,0007;0,0002
11/6/1991;0,0046;-0,0042;-0,002;0,0045;0,0008;0,0002
12/6/1991;-0,0101;0,0007;-0,0006;0,003;0,0009;0,0002
13/6/1991;0,002;-0,0013;-0,002;0,0021;-0,0003;0,0002
14/6/1991;0,0104;-0,0044;-0,0036;0,0053;-0,0028;0,0002
17/6/1991;-0,0038;0,0034;0,0016;0,001;-0,0015;0,0002
18/6/1991;-0,0036;0,0019;0,0005;0,0007;-0,0003;0,0002
19/6/1991;-0,0092;-0,0001;0,003;0,0006;0,0006;0,0002
20/6/1991;0,0002;-0,0016;-0,002;0,0006;0,0009;0,0002
21/6/1991;0,0041;-0,0042;-0,001;0,0014;-0,0004;0,0002
24/6/1991;-0,0163;0,0009;0,0037;-0,0007;0,0048;0,0002
25/6/1991;-0,0017;-0,0035;-0,0002;0,0018;0,0025;0,0002
26/6/1991;0,0013;-0,0038;-0,0018;0,0017;-0,0012;0,0002
27/6/1991;0,0066;-0,0032;-0,0048;0,0027;0,0024;0,0002
28/6/1991;-0,0063;0,0088;0,0018;-0,0001;0,0002;0,0002
1/7/1991;0,0151;-0,0098;-0,0063;0,0051;-0,0055;0,0002
2/7/1991;-0,0006;-0,0002;0,0002;0,001;0,0002;0,0002
3/7/1991;-0,0093;0,0038;-0,0002;0,0013;0,0007;0,0002
4/7/1991;0;0;0,0001;0;0;0,0002
5/7/1991;0,0017;-0,0018;-0,0005;0,0012;-0,0004;0,0002
8/7/1991;0,008;-0,0057;-0,0046;0,0025;-0,0051;0,0002
9/7/1991;-0,0011;0,0069;-0,0016;0,0018;-0,001;0,0002
10/7/1991;0,0004;0,0046;-0,0016;-0,0003;0,0001;0,0002
11/7/1991;0,0029;-0,0012;-0,0012;0,0022;-0,0017;0,0002
12/7/1991;0,0075;-0,0015;-0,0029;0,0014;-0,0022;0,0002
15/7/1991;0,0061;-0,0003;-0,0011;-0,001;-0,0016;0,0002
16/7/1991;-0,0016;0,0021;0,0046;-0,0029;0,0046;0,0002
17/7/1991;-0,0001;0,0009;-0,0005;-0,0017;0,0015;0,0002
18/7/1991;0,0087;-0,0036;-0,0011;0,0011;-0,0009;0,0002
19/7/1991;-0,0022;0,0047;-0,0003;-0,0013;-0,0009;0,0002
22/7/1991;-0,0034;0,0009;0,0005;0,0019;0,0017;0,0002
23/7/1991;-0,0084;0,0024;0,0039;-0,0028;0,0031;0,0002
24/7/1991;-0,0026;-0,0013;-0,0002;0,0019;0,0018;0,0002
25/7/1991;0,0054;-0,0044;-0,0003;0,0013;-0,0018;0,0002
26/7/1991;0,0009;0;-0,0005;0;0,0007;0,0002
29/7/1991;0,0047;-0,0054;-0,0032;0,0013;-0,0025;0,0002
30/7/1991;0,0085;-0,003;-0,0055;0,0052;-0,0033;0,0002
31/7/1991;0,0037;0,0033;-0,0024;0,0008;-0,0032;0,0002
1/8/1991;-0,0009;0,0021;-0,0016;-0,0011;-0,0018;0,0002
2/8/1991;0,0007;0,0012;-0,0018;0,0009;-0,0024;0,0002
5/8/1991;-0,0047;0,0022;0,0008;-0,0019;0,0022;0,0002
6/8/1991;0,0117;-0,0096;-0,0019;0,0059;-0,0014;0,0002
7/8/1991;0,0014;0,001;0,0004;0,0012;-0,0003;0,0002
8/8/1991;-0,0015;0,0026;-0,0006;0,0009;0,0011;0,0002
9/8/1991;-0,004;0,0049;-0,0001;0,0016;0,0001;0,0002
12/8/1991;0,0019;-0,0021;0,0025;-0,0011;0,0008;0,0002
13/8/1991;0,0046;-0,001;0,0031;-0,0039;0,0008;0,0002
14/8/1991;0,0024;0,0013;-0,0027;0;-0,0029;0,0002
15/8/1991;-0,0013;0,0015;-0,0029;0,0026;0,0006;0,0002
16/8/1991;-0,008;0,0041;0,0011;-0,0016;0,0043;0,0002
19/8/1991;-0,0226;-0,0038;0,0012;0,0013;0,0012;0,0002
20/8/1991;0,007;0,0023;-0,0013;0,0012;-0,0004;0,0002
21/8/1991;0,0264;-0,0045;-0,007;0,0033;-0,0084;0,0002
22/8/1991;0,0021;0,0015;0;0,0022;0,0003;0,0002
23/8/1991;0,0061;-0,0018;0,0022;0,0001;-0,0005;0,0002
26/8/1991;-0,0003;0,0008;-0,0011;-0,0022;0;0,0002
27/8/1991;-0,0009;0,0023;-0,004;0,0008;-0,0012;0,0002
28/8/1991;0,0081;-0,0019;-0,0028;-0,0005;-0,0011;0,0002
29/8/1991;0;0,0015;0,0009;0,0009;-0,0024;0,0002
30/8/1991;-0,0015;0,0049;-0,0011;0,0008;0,0011;0,0002
2/9/1991;0;0;0,0001;-0,0001;0;0,0002
3/9/1991;-0,0073;0,0018;0,0021;-0,0015;0,0023;0,0002
4/9/1991;-0,0055;0,0021;0,0008;0,0003;0,0009;0,0002
5/9/1991;-0,0024;0,0021;0,0009;-0,0014;0,0025;0,0002
