Name;Banksus returns
14/02/2003;0.019551434
17/02/2003;0
18/02/2003;0.014863792
19/02/2003;-0.002841985
20/02/2003;-0.006189862
21/02/2003;0.012376245
24/02/2003;-0.022666512
25/02/2003;0.008905625
26/02/2003;-0.013383913
27/02/2003;0.014864882
28/02/2003;0.004246699
03/03/2003;-0.005885534
04/03/2003;-0.012213353
05/03/2003;0.01181858
06/03/2003;-0.013951763
07/03/2003;0.009184655
10/03/2003;-0.03126164
11/03/2003;-0.016009731
12/03/2003;-0.003342364
13/03/2003;0.035512404
14/03/2003;-0.002033841
17/03/2003;0.024513659
18/03/2003;0.001652683
19/03/2003;0.013339606
20/03/2003;0.004833503
21/03/2003;0.022741844
24/03/2003;-0.034114427
25/03/2003;0.009569203
26/03/2003;-0.006796118
27/03/2003;-0.003875789
28/03/2003;-0.002339671
31/03/2003;-0.020755719
01/04/2003;0.020903742
02/04/2003;0.025241187
03/04/2003;-0.013375182
04/04/2003;0.011267556
07/04/2003;-0.001404716
08/04/2003;0.006767023
09/04/2003;-0.015735463
10/04/2003;0.010424199
11/04/2003;0.001682973
14/04/2003;0.019777981
15/04/2003;0.014129515
16/04/2003;-0.015087509
17/04/2003;0.013707349
18/04/2003;0
21/04/2003;-0.00256822
22/04/2003;0.024827492
23/04/2003;0.008191221
24/04/2003;-0.015996226
25/04/2003;-0.009492943
28/04/2003;0.016815435
29/04/2003;0.00021716
30/04/2003;0.002730574
01/05/2003;-0.000160416
02/05/2003;0.017903047
05/05/2003;-0.005340509
06/05/2003;0.009688188
07/05/2003;-0.002073207
08/05/2003;-0.016086945
09/05/2003;0.004901014
12/05/2003;0.012435082
13/05/2003;0.000368947
14/05/2003;-0.004594056
15/05/2003;0.008041444
16/05/2003;0.000203338
19/05/2003;-0.021835205
20/05/2003;0.001964229
21/05/2003;0.005354052
22/05/2003;-0.001230564
23/05/2003;0.008070239
26/05/2003;0
27/05/2003;0.019972423
28/05/2003;0.005937798
29/05/2003;-0.0066255
30/05/2003;0.017348562
02/06/2003;0.006647763
03/06/2003;0.010233168
04/06/2003;0.017650696
05/06/2003;0.006109246
06/06/2003;-0.001883666
09/06/2003;-0.017940115
10/06/2003;0.009846826
11/06/2003;0.015461682
12/06/2003;2.17625E-05
13/06/2003;-0.005404377
16/06/2003;0.019715389
17/06/2003;-0.000457771
18/06/2003;-0.007662928
19/06/2003;-0.019738034
20/06/2003;0.004665638
23/06/2003;-0.016768168
24/06/2003;0.002200581
25/06/2003;-0.002505773
26/06/2003;0.011296795
27/06/2003;-0.007343956
30/06/2003;-0.003402071
01/07/2003;0.012062819
02/07/2003;0.007251663
03/07/2003;-0.007457528
04/07/2003;0
07/07/2003;0.017710155
08/07/2003;0.004907464
09/07/2003;0.000337807
10/07/2003;-0.009908364
11/07/2003;0.012972165
14/07/2003;0.020605397
15/07/2003;-0.007438697
16/07/2003;-0.010655224
17/07/2003;-0.0137433
18/07/2003;0.015685187
21/07/2003;-0.010864333
22/07/2003;0.011199498
23/07/2003;0.00042058
24/07/2003;-0.009819132
25/07/2003;0.016857138
28/07/2003;-0.004923532
29/07/2003;-0.004433428
30/07/2003;-0.001479803
31/07/2003;-0.005193028
01/08/2003;-0.021729318
04/08/2003;0.004560861
05/08/2003;-0.016984575
06/08/2003;0.007657363
07/08/2003;0.005383504
08/08/2003;0.005603035
11/08/2003;-0.001725172
12/08/2003;0.012028624
13/08/2003;-0.006636398
14/08/2003;0.008463635
15/08/2003;-0.001682669
18/08/2003;0.001163005
19/08/2003;-5.05373E-05
20/08/2003;0.000382576
21/08/2003;-0.002095134
22/08/2003;-0.01935867
25/08/2003;-0.000472018
26/08/2003;0.002534482
27/08/2003;-0.005378678
28/08/2003;0.006518572
29/08/2003;0.006001579
01/09/2003;0
02/09/2003;0.011860071
03/09/2003;0.001262677
04/09/2003;-0.004147555
05/09/2003;-0.002392294
08/09/2003;0.006381199
09/09/2003;-0.005895028
10/09/2003;-0.019419082
11/09/2003;0.004855274
12/09/2003;0.004018356
15/09/2003;0.000212589
16/09/2003;0.010419913
17/09/2003;0.000108802
18/09/2003;0.024955813
19/09/2003;0.000728391
22/09/2003;-0.011453804
23/09/2003;0.006528611
24/09/2003;-0.012172043
25/09/2003;-0.006080537
26/09/2003;-0.003747481
29/09/2003;0.00881356
30/09/2003;-0.008094869
01/10/2003;0.025676234
02/10/2003;-0.001047343
03/10/2003;0.003442198
06/10/2003;0.008767364
07/10/2003;0.007331197
08/10/2003;-0.002739423
09/10/2003;0.005145863
10/10/2003;0.000470901
13/10/2003;0.014584551
14/10/2003;0.004615424
